InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Total,NetTotal
465838,SKU_1760,"Desk Lamp",14,"2020-01-01 03:00:00",76.68,96586.0,Netherlands,0.14,paypall,11.08,Accessories,Online,"Not Returned","Royal Mail",Rome,Low,1071.56,1060.48
164820,SKU_1000,Backpack,21,"2020-01-01 18:00:00",1.07,20566.0,Sweden,0.49,"Bank Transfer",15.09,Accessories,Online,"Not Returned",FedEx,London,Medium,12.18,-2.91
421879,SKU_1578,"Wall Clock",43,"2020-01-01 20:00:00",77.17,24716.0,Norway,0.3,"Bank Transfer",24.77,Accessories,In-store,Returned,FedEx,Berlin,Low,3305.41,3280.64
427069,SKU_1866,"Wireless Mouse",39,"2020-01-01 22:00:00",66.18,45103.0,Sweden,0.07,"Bank Transfer",27.02,Accessories,Online,"Not Returned","Royal Mail",Paris,High,2578.29,2551.27
358795,SKU_1023,Headphones,30,"2020-01-02 08:00:00",99.31,61358.0,"United Kingdom",0.31,"Credit Card",22.31,Accessories,Online,"Not Returned","Royal Mail",Berlin,Medium,2970,2947.69
552366,SKU_1960,Backpack,25,"2020-01-02 18:00:00",86.68,69201.0,Australia,0.02,"Bank Transfer",23.35,Accessories,In-store,"Not Returned","Royal Mail",Berlin,Medium,2166.5,2143.15
655839,SKU_1047,"Office Chair",48,"2020-01-03 01:00:00",4.74,GUEST,Belgium,0.22,"Credit Card",23.11,Accessories,Online,"Not Returned",UPS,London,High,216.96,193.85
765987,SKU_1457,"Blue Pen",41,"2020-01-03 10:00:00",11.4,35294.0,Germany,0.08,"Bank Transfer",12.87,Accessories,Online,"Not Returned",UPS,Berlin,High,464.12,451.25
305041,SKU_1731,"Desk Lamp",45,"2020-01-03 14:00:00",54.79,GUEST,"United Kingdom",0.23,"Credit Card",8.97,Accessories,In-store,"Not Returned",DHL,MAIN,Medium,2455.2,2446.23
831912,SKU_1600,"Wireless Mouse",6,"2020-01-03 16:00:00",78.9,54809.0,Italy,0.1,"Bank Transfer",12.89,Accessories,Online,"Not Returned",DHL,Berlin,High,472.8,459.91
351995,SKU_1377,"USB Cable",22,"2020-01-03 21:00:00",94.81,33544.0,Germany,0.43,"Bank Transfer",25.61,Accessories,In-store,"Not Returned",UPS,London,Medium,2076.36,2050.75
560337,SKU_1951,"Blue Pen",39,"2020-01-04 06:00:00",36.99,83214.0,Belgium,0.38,paypall,20.06,Accessories,In-store,"Not Returned",DHL,Rome,Medium,1427.79,1407.73
