InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Total,NetTotal
221958,SKU_1964,"White Mug",38,"2020-01-01 00:00:00",1.71,37039.0,Australia,0.47,"Bank Transfer",10.79,Apparel,In-store,"Not Returned",UPS,London,Medium,47.12,36.33
154886,SKU_1907,"Wireless Mouse",19,"2020-01-01 08:00:00",98.19,87950.0,Belgium,0.05,paypall,12.56,Apparel,Online,"Not Returned",UPS,Berlin,High,1864.66,1852.1
237337,SKU_1866,Headphones,40,"2020-01-01 09:00:00",98.17,39718.0,Italy,0.16,"Bank Transfer",7.71,Apparel,Online,"Not Returned","Royal Mail",London,Low,3920.4,3912.69
141090,SKU_1656,"Office Chair",7,"2020-01-01 16:00:00",70.85,15473.0,Germany,0,"Bank Transfer",23.66,Apparel,In-store,"Not Returned",FedEx,Paris,High,495.95,472.29
335796,SKU_1473,"Wall Clock",22,"2020-01-02 03:00:00",28.73,60532.0,Netherlands,0.25,"Credit Card",8.44,Apparel,Online,"Not Returned",FedEx,Rome,Medium,626.56,618.12
165725,SKU_1412,"USB Cable",16,"2020-01-02 19:00:00",9.08,46393.0,France,0.04,"Bank Transfer",18.69,Apparel,In-store,"Not Returned","Royal Mail",Rome,Low,144.64,125.95
184654,SKU_1259,"Wall Clock",20,"2020-01-02 21:00:00",24.36,73680.0,Norway,0.07,"Bank Transfer",18.99,Apparel,In-store,"Not Returned",FedEx,London,High,485.8,466.81
431236,SKU_1793,"Wall Clock",23,"2020-01-03 03:00:00",33.63,25739.0,France,0.33,"Bank Transfer",6.6,Apparel,Online,"Not Returned",DHL,Rome,Medium,765.9,759.3
665894,SKU_1805,Headphones,2,"2020-01-03 05:00:00",33.4,59341.0,Sweden,0.16,"Bank Transfer",18.88,Apparel,Online,"Not Returned","Royal Mail",Berlin,Low,66.48,47.6
356840,SKU_1747,"Office Chair",36,"2020-01-03 07:00:00",5.04,61799.0,"United Kingdom",0.15,"Bank Transfer",27.63,Apparel,In-store,Returned,FedEx,Paris,Low,176.04,148.41
370936,SKU_1228,Backpack,48,"2020-01-03 11:00:00",28.29,47376.0,Belgium,0.33,"Bank Transfer",16.89,Apparel,Online,"Not Returned",DHL,Rome,High,1342.08,1325.19
877089,SKU_1263,"Office Chair",36,"2020-01-03 19:00:00",34.13,68005.0,Italy,0.32,"Bank Transfer",20.69,Apparel,Online,"Not Returned",FedEx,Paris,Medium,1217.16,1196.47
308261,SKU_1284,Headphones,14,"2020-01-04 10:00:00",36.13,96452.0,Italy,0.34,"Credit Card",14.95,Apparel,In-store,Returned,DHL,Berlin,Low,501.06,486.11
587879,SKU_1714,"Wall Clock",39,"2020-01-04 23:00:00",60.36,90167.0,Sweden,0.07,"Bank Transfer",24.41,Apparel,In-store,"Not Returned",UPS,Rome,High,2351.31,2326.9
664685,SKU_1798,Backpack,26,"2020-01-05 00:00:00",24.81,95325.0,Germany,0.4,"Credit Card",26.82,Apparel,In-store,Returned,"Royal Mail",Rome,Medium,634.66,607.84
123247,SKU_1857,T-shirt,18,"2020-01-05 06:00:00",31.83,60583.0,France,0.42,"Credit Card",27.47,Apparel,Online,Returned,FedEx,Paris,High,565.38,537.91
707086,SKU_1949,Notebook,48,"2020-01-05 09:00:00",15.68,90838.0,Portugal,0.23,"Credit Card",8.83,Apparel,In-store,"Not Returned",DHL,London,High,741.6,732.77
842139,SKU_1240,"Wireless Mouse",27,"2020-01-05 14:00:00",65.17,96508.0,Norway,0.12,paypall,28.59,Apparel,In-store,Returned,UPS,Rome,High,1756.35,1727.76
