InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Total,NetTotal
187498,SKU_1450,"Office Chair",41,"2020-01-01 11:00:00",59.51,32466.0,Australia,0.39,"Bank Transfer",12.0,Furniture,In-store,"Not Returned",FedEx,Amsterdam,Low,2423.92,2411.92
378167,SKU_1163,T-shirt,16,"2020-01-01 15:00:00",82.58,85852.0,Belgium,0.41,"Bank Transfer",27.02,Furniture,In-store,"Not Returned",UPS,Amsterdam,High,1314.72,1287.7
887201,SKU_1119,"USB Cable",46,"2020-01-01 19:00:00",27.03,19819.0,Spain,0.26,"Credit Card",23.8,Furniture,In-store,Returned,UPS,London,Medium,1231.42,1207.62
818315,SKU_1463,Notebook,14,"2020-01-01 21:00:00",66.89,16604.0,Norway,0.42,paypall,15.05,Furniture,Online,"Not Returned",FedEx,Berlin,High,930.58,915.53
314176,SKU_1887,"Office Chair",10,"2020-01-02 04:00:00",86.71,47802.0,Australia,0.36,"Credit Card",16.86,Furniture,Online,"Not Returned",DHL,Amsterdam,Low,863.5,846.64
284779,SKU_1938,"USB Cable",11,"2020-01-02 05:00:00",90.69,98066.0,"United States",0.39,"Credit Card",25.31,Furniture,Online,"Not Returned",DHL,Amsterdam,Medium,993.3,967.99
970910,SKU_1984,Backpack,21,"2020-01-02 12:00:00",61.34,87631.0,Belgium,0.24,"Bank Transfer",9.39,Furniture,In-store,"Not Returned",DHL,London,Low,1283.1,1273.71
627035,SKU_1529,Notebook,29,"2020-01-02 16:00:00",21.32,40568.0,Spain,0.16,"Credit Card",10.88,Furniture,In-store,"Not Returned",UPS,Paris,Low,613.64,602.76
229981,SKU_1588,"Desk Lamp",31,"2020-01-02 20:00:00",2.1,47167.0,Norway,0.29,"Bank Transfer",16.04,Furniture,Online,"Not Returned",UPS,Amsterdam,Low,56.11,40.07
573254,SKU_1408,"Blue Pen",35,"2020-01-03 08:00:00",4.66,32638.0,Australia,0.27,paypall,19.65,Furniture,In-store,"Not Returned",UPS,London,Low,153.65,134
339629,SKU_1572,Notebook,31,"2020-01-03 13:00:00",55.33,72552.0,Italy,0.05,"Credit Card",25.13,Furniture,Online,"Not Returned","Royal Mail",Paris,Low,1713.68,1688.55
