InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Total,NetTotal
210268,SKU_1087,"USB Cable",25,"2020-01-01 06:00:00",85.74,46567.0,Belgium,0.15,"Bank Transfer",12.92,Stationery,Online,"Not Returned",FedEx,Amsterdam,High,2139.75,2126.83
621430,SKU_1144,Notebook,49,"2020-01-01 10:00:00",87.56,13030.0,"United Kingdom",0.19,paypall,9.83,Stationery,In-store,Returned,UPS,Paris,Medium,4281.13,4271.3
275203,SKU_1709,Headphones,3,"2020-01-01 13:00:00",2.09,97817.0,Spain,0.47,"Credit Card",19.22,Stationery,Online,"Not Returned","Royal Mail",Paris,Low,4.86,-14.36
429365,SKU_1341,Headphones,49,"2020-01-01 17:00:00",14.91,55644.0,Netherlands,0.36,"Bank Transfer",5.32,Stationery,Online,"Not Returned","Royal Mail",Paris,Medium,712.95,707.63
876997,SKU_1461,T-shirt,24,"2020-01-01 23:00:00",70.01,14803.0,Norway,0.12,"Credit Card",13.16,Stationery,Online,"Not Returned","Royal Mail",Paris,Low,1677.36,1664.2
891743,SKU_1818,"Blue Pen",30,"2020-01-02 01:00:00",59.53,62114.0,Germany,0.25,paypall,23.67,Stationery,Online,"Not Returned",DHL,Rome,Low,1778.4,1754.73
203355,SKU_1326,"USB Cable",33,"2020-01-02 02:00:00",97.96,38576.0,Italy,0.23,"Bank Transfer",7.25,Stationery,Online,"Not Returned","Royal Mail",Paris,High,3225.09,3217.84
447449,SKU_1367,"White Mug",15,"2020-01-02 06:00:00",40.36,83531.0,Portugal,0.03,"Credit Card",6.14,Stationery,In-store,"Not Returned","Royal Mail",Rome,High,604.95,598.81
586232,SKU_1722,"Wall Clock",14,"2020-01-02 09:00:00",10.32,54696.0,France,0.01,"Credit Card",28.9,Stationery,In-store,Returned,DHL,Rome,Low,144.34,115.44
256730,SKU_1448,T-shirt,26,"2020-01-02 11:00:00",35.39,28203.0,Australia,0.02,"Bank Transfer",21.07,Stationery,In-store,"Not Returned",DHL,Rome,Medium,919.62,898.55
484681,SKU_1062,"Desk Lamp",5,"2020-01-02 13:00:00",30.77,41311.0,Spain,0.31,paypall,15.27,Stationery,In-store,"Not Returned",DHL,Amsterdam,Low,152.3,137.03
249503,SKU_1567,"Wireless Mouse",47,"2020-01-02 14:00:00",38.11,52219.0,France,0.27,paypall,25.15,Stationery,In-store,"Not Returned",UPS,Paris,Medium,1778.48,1753.33
754811,SKU_1457,T-shirt,12,"2020-01-02 15:00:00",29.06,30037.0,Portugal,0.15,paypall,12.84,Stationery,Online,"Not Returned",UPS,London,Low,346.92,334.08
691723,SKU_1632,"Wireless Mouse",31,"2020-01-02 22:00:00",84.83,57796.0,Netherlands,0.12,"Bank Transfer",23.25,Stationery,In-store,"Not Returned",UPS,Paris,High,2626.01,2602.76
373538,SKU_1146,Headphones,8,"2020-01-03 02:00:00",20.35,75852.0,Belgium,0.1,"Credit Card",20.37,Stationery,In-store,"Not Returned",UPS,Rome,Low,162,141.63
628178,SKU_1875,Backpack,8,"2020-01-03 04:00:00",68.66,79905.0,Netherlands,0.13,"Credit Card",26.31,Stationery,In-store,"Not Returned","Royal Mail",London,Low,548.24,521.93
589492,SKU_1591,T-shirt,27,"2020-01-03 06:00:00",49.95,28756.0,Italy,0.3,paypall,10.36,Stationery,In-store,"Not Returned",DHL,London,Medium,1340.55,1330.19
449457,SKU_1439,"Desk Lamp",23,"2020-01-03 09:00:00",73.48,80321.0,Italy,0.37,"Bank Transfer",29.57,Stationery,Online,"Not Returned",DHL,Amsterdam,High,1681.53,1651.96
339931,SKU_1283,"Office Chair",13,"2020-01-03 12:00:00",1.47,46641.0,Spain,0.32,paypall,8.53,Stationery,Online,"Not Returned",UPS,London,Low,14.95,6.42
672843,SKU_1953,Headphones,3,"2020-01-03 23:00:00",99.17,GUEST,"United States",0.03,paypall,11.58,Stationery,Online,"Not Returned",DHL,London,Medium,297.42,285.84
206530,SKU_1266,Notebook,23,"2020-01-04 03:00:00",24.56,14443.0,Sweden,0.32,paypall,14.23,Stationery,Online,"Not Returned","Royal Mail",London,Low,557.52,543.29
