InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Total,NetTotal
771155,SKU_1241,"White Mug",18,"2020-01-01 01:00:00",41.25,19144.0,Spain,0.19,paypall,9.51,Electronics,Online,"Not Returned",UPS,Rome,Medium,739.08,729.57
231932,SKU_1501,Headphones,49,"2020-01-01 02:00:00",29.11,50472.0,Germany,0.35,"Bank Transfer",23.03,Electronics,Online,Returned,UPS,Berlin,High,1409.24,1386.21
744167,SKU_1006,"Office Chair",47,"2020-01-01 05:00:00",70.16,53887.0,Sweden,0.48,"Credit Card",13.98,Electronics,Online,"Not Returned",DHL,London,Medium,3274.96,3260.98
832180,SKU_1597,Notebook,8,"2020-01-01 07:00:00",95.65,75098.0,Norway,0.04,"Bank Transfer",6.48,Electronics,In-store,"Not Returned","Royal Mail",Amsterdam,Low,764.88,758.4
999159,SKU_1330,"Blue Pen",41,"2020-01-01 12:00:00",25.59,89794.0,Australia,0.01,"Credit Card",15.58,Electronics,In-store,"Not Returned",FedEx,Berlin,Medium,1048.78,1033.2
291335,SKU_1874,"Wall Clock",29,"2020-01-01 14:00:00",35.88,43017.0,Portugal,0.06,"Credit Card",14.85,Electronics,Online,"Not Returned","Royal Mail",Amsterdam,High,1038.78,1023.93
299041,SKU_1048,T-shirt,48,"2020-01-02 00:00:00",27.87,26772.0,France,0.24,"Bank Transfer",19.61,Electronics,Online,"Not Returned",UPS,Berlin,Low,1326.24,1306.63
521909,SKU_1286,"White Mug",48,"2020-01-02 07:00:00",8.39,59307.0,Netherlands,0.08,"Bank Transfer",15.29,Electronics,In-store,"Not Returned","Royal Mail",Amsterdam,Medium,398.88,383.59
600186,SKU_1292,Headphones,32,"2020-01-02 10:00:00",82.94,26741.0,Netherlands,0.15,"Credit Card",28.6,Electronics,Online,"Not Returned",UPS,Amsterdam,High,2649.28,2620.68
748143,SKU_1873,"Blue Pen",21,"2020-01-02 17:00:00",36.85,89341.0,Australia,0.15,paypall,28.34,Electronics,In-store,"Not Returned",UPS,Berlin,Low,770.7,742.36
419030,SKU_1907,"Wireless Mouse",11,"2020-01-02 23:00:00",93.1,18741.0,Australia,0.38,paypall,8.78,Electronics,Online,"Not Returned",DHL,Paris,Low,1019.92,1011.14
428947,SKU_1183,T-shirt,32,"2020-01-03 00:00:00",81.47,85133.0,Italy,0,"Bank Transfer",9.14,Electronics,Online,"Not Returned",DHL,Paris,High,2607.04,2597.9
517113,SKU_1946,Notebook,20,"2020-01-03 17:00:00",39,43390.0,Italy,0.09,paypall,21.67,Electronics,Online,"Not Returned","Royal Mail",Berlin,Medium,778.2,756.53
168148,SKU_1907,"Wireless Mouse",26,"2020-01-03 18:00:00",25.56,59957.0,"United States",0.48,"Bank Transfer",10.4,Electronics,In-store,"Not Returned",UPS,London,High,652.08,641.68
778843,SKU_1102,"Wall Clock",12,"2020-01-03 22:00:00",70.77,94953.0,Germany,0.33,"Bank Transfer",17.0,Electronics,In-store,"Not Returned",FedEx,Rome,High,845.28,828.28
356508,SKU_1599,T-shirt,5,"2020-01-04 00:00:00",61.05,55140.0,Spain,0.45,"Bank Transfer",8.03,Electronics,Online,"Not Returned","Royal Mail",Rome,Low,303,294.97
903591,SKU_1022,T-shirt,5,"2020-01-04 01:00:00",94.77,55936.0,Portugal,0.13,"Bank Transfer",19.81,Electronics,Online,"Not Returned","Royal Mail",Rome,Low,473.2,453.39
441097,SKU_1161,T-shirt,7,"2020-01-04 12:00:00",15.96,30966.0,"United Kingdom",0.28,paypall,23.88,Electronics,Online,"Not Returned",DHL,Paris,High,109.76,85.88
415139,SKU_1589,"USB Cable",20,"2020-01-04 13:00:00",49.92,62514.0,Germany,0.4,"Bank Transfer",8.34,Electronics,Online,"Not Returned","Royal Mail",Rome,Low,990.4,982.06
