InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Total,NetTotal
221958,SKU_1964,"White Mug",38,"2020-01-01 00:00:00",1.71,37039.0,Australia,0.47,"Bank Transfer",10.79,Apparel,In-store,"Not Returned",UPS,London,Medium,47.12,36.33
771155,SKU_1241,"White Mug",18,"2020-01-01 01:00:00",41.25,19144.0,Spain,0.19,paypall,9.51,Electronics,Online,"Not Returned",UPS,Rome,Medium,739.08,729.57
231932,SKU_1501,Headphones,49,"2020-01-01 02:00:00",29.11,50472.0,Germany,0.35,"Bank Transfer",23.03,Electronics,Online,Returned,UPS,Berlin,High,1409.24,1386.21
465838,SKU_1760,"Desk Lamp",14,"2020-01-01 03:00:00",76.68,96586.0,Netherlands,0.14,paypall,11.08,Accessories,Online,"Not Returned","Royal Mail",Rome,Low,1071.56,1060.48
744167,SKU_1006,"Office Chair",47,"2020-01-01 05:00:00",70.16,53887.0,Sweden,0.48,"Credit Card",13.98,Electronics,Online,"Not Returned",DHL,London,Medium,3274.96,3260.98
210268,SKU_1087,"USB Cable",25,"2020-01-01 06:00:00",85.74,46567.0,Belgium,0.15,"Bank Transfer",12.92,Stationery,Online,"Not Returned",FedEx,Amsterdam,High,2139.75,2126.83
832180,SKU_1597,Notebook,8,"2020-01-01 07:00:00",95.65,75098.0,Norway,0.04,"Bank Transfer",6.48,Electronics,In-store,"Not Returned","Royal Mail",Amsterdam,Low,764.88,758.4
154886,SKU_1907,"Wireless Mouse",19,"2020-01-01 08:00:00",98.19,87950.0,Belgium,0.05,paypall,12.56,Apparel,Online,"Not Returned",UPS,Berlin,High,1864.66,1852.1
237337,SKU_1866,Headphones,40,"2020-01-01 09:00:00",98.17,39718.0,Italy,0.16,"Bank Transfer",7.71,Apparel,Online,"Not Returned","Royal Mail",London,Low,3920.4,3912.69
621430,SKU_1144,Notebook,49,"2020-01-01 10:00:00",87.56,13030.0,"United Kingdom",0.19,paypall,9.83,Stationery,In-store,Returned,UPS,Paris,Medium,4281.13,4271.3
187498,SKU_1450,"Office Chair",41,"2020-01-01 11:00:00",59.51,32466.0,Australia,0.39,"Bank Transfer",12.0,Furniture,In-store,"Not Returned",FedEx,Amsterdam,Low,2423.92,2411.92
999159,SKU_1330,"Blue Pen",41,"2020-01-01 12:00:00",25.59,89794.0,Australia,0.01,"Credit Card",15.58,Electronics,In-store,"Not Returned",FedEx,Berlin,Medium,1048.78,1033.2
275203,SKU_1709,Headphones,3,"2020-01-01 13:00:00",2.09,97817.0,Spain,0.47,"Credit Card",19.22,Stationery,Online,"Not Returned","Royal Mail",Paris,Low,4.86,-14.36
291335,SKU_1874,"Wall Clock",29,"2020-01-01 14:00:00",35.88,43017.0,Portugal,0.06,"Credit Card",14.85,Electronics,Online,"Not Returned","Royal Mail",Amsterdam,High,1038.78,1023.93
378167,SKU_1163,T-shirt,16,"2020-01-01 15:00:00",82.58,85852.0,Belgium,0.41,"Bank Transfer",27.02,Furniture,In-store,"Not Returned",UPS,Amsterdam,High,1314.72,1287.7
141090,SKU_1656,"Office Chair",7,"2020-01-01 16:00:00",70.85,15473.0,Germany,0,"Bank Transfer",23.66,Apparel,In-store,"Not Returned",FedEx,Paris,High,495.95,472.29
429365,SKU_1341,Headphones,49,"2020-01-01 17:00:00",14.91,55644.0,Netherlands,0.36,"Bank Transfer",5.32,Stationery,Online,"Not Returned","Royal Mail",Paris,Medium,712.95,707.63
164820,SKU_1000,Backpack,21,"2020-01-01 18:00:00",1.07,20566.0,Sweden,0.49,"Bank Transfer",15.09,Accessories,Online,"Not Returned",FedEx,London,Medium,12.18,-2.91
887201,SKU_1119,"USB Cable",46,"2020-01-01 19:00:00",27.03,19819.0,Spain,0.26,"Credit Card",23.8,Furniture,In-store,Returned,UPS,London,Medium,1231.42,1207.62
421879,SKU_1578,"Wall Clock",43,"2020-01-01 20:00:00",77.17,24716.0,Norway,0.3,"Bank Transfer",24.77,Accessories,In-store,Returned,FedEx,Berlin,Low,3305.41,3280.64
818315,SKU_1463,Notebook,14,"2020-01-01 21:00:00",66.89,16604.0,Norway,0.42,paypall,15.05,Furniture,Online,"Not Returned",FedEx,Berlin,High,930.58,915.53
427069,SKU_1866,"Wireless Mouse",39,"2020-01-01 22:00:00",66.18,45103.0,Sweden,0.07,"Bank Transfer",27.02,Accessories,Online,"Not Returned","Royal Mail",Paris,High,2578.29,2551.27
876997,SKU_1461,T-shirt,24,"2020-01-01 23:00:00",70.01,14803.0,Norway,0.12,"Credit Card",13.16,Stationery,Online,"Not Returned","Royal Mail",Paris,Low,1677.36,1664.2
299041,SKU_1048,T-shirt,48,"2020-01-02 00:00:00",27.87,26772.0,France,0.24,"Bank Transfer",19.61,Electronics,Online,"Not Returned",UPS,Berlin,Low,1326.24,1306.63
891743,SKU_1818,"Blue Pen",30,"2020-01-02 01:00:00",59.53,62114.0,Germany,0.25,paypall,23.67,Stationery,Online,"Not Returned",DHL,Rome,Low,1778.4,1754.73
203355,SKU_1326,"USB Cable",33,"2020-01-02 02:00:00",97.96,38576.0,Italy,0.23,"Bank Transfer",7.25,Stationery,Online,"Not Returned","Royal Mail",Paris,High,3225.09,3217.84
335796,SKU_1473,"Wall Clock",22,"2020-01-02 03:00:00",28.73,60532.0,Netherlands,0.25,"Credit Card",8.44,Apparel,Online,"Not Returned",FedEx,Rome,Medium,626.56,618.12
314176,SKU_1887,"Office Chair",10,"2020-01-02 04:00:00",86.71,47802.0,Australia,0.36,"Credit Card",16.86,Furniture,Online,"Not Returned",DHL,Amsterdam,Low,863.5,846.64
284779,SKU_1938,"USB Cable",11,"2020-01-02 05:00:00",90.69,98066.0,"United States",0.39,"Credit Card",25.31,Furniture,Online,"Not Returned",DHL,Amsterdam,Medium,993.3,967.99
447449,SKU_1367,"White Mug",15,"2020-01-02 06:00:00",40.36,83531.0,Portugal,0.03,"Credit Card",6.14,Stationery,In-store,"Not Returned","Royal Mail",Rome,High,604.95,598.81
521909,SKU_1286,"White Mug",48,"2020-01-02 07:00:00",8.39,59307.0,Netherlands,0.08,"Bank Transfer",15.29,Electronics,In-store,"Not Returned","Royal Mail",Amsterdam,Medium,398.88,383.59
